agent,n,buzz_accuracy,mean_buzz_step,mean_sq,mean_reward_like,ece,brier,n_calibration
threshold_0.5,14961.0,0.9748011496557717,3.176659314216964,0.6857817434610365,0.9622017244836575,0.45547019456663307,0.23261546696968297,14961.0
threshold_0.6,14961.0,0.9754027137223448,3.6266292360136356,0.5694029442303532,0.9631040705835171,0.42638094143452837,0.20897085904173593,14961.0
threshold_0.7,14961.0,0.9754695541741862,3.8382461065436804,0.3926037902496073,0.9632043312612794,0.4151323512530201,0.2019082441027576,14961.0
threshold_0.8,14961.0,0.9754695541741862,3.90715861239222,0.2243430330190661,0.9632043312612794,0.4125360852555232,0.20071370925209506,14961.0
threshold_0.9,14961.0,0.9754695541741862,3.9156473497760844,0.10769552599100198,0.9632043312612794,0.4123666401108146,0.20066128687824059,14961.0
softmax_0.5,14961.0,0.9748011496557717,3.176659314216964,0.6857817434610365,0.0,0.45547019456663307,0.23261546696968297,14961.0
softmax_0.6,14961.0,0.9754027137223448,3.6266292360136356,0.5694029442303532,0.0,0.42638094143452837,0.20897085904173593,14961.0
softmax_0.7,14961.0,0.9754695541741862,3.8382461065436804,0.3926037902496073,0.0,0.4151323512530201,0.2019082441027576,14961.0
softmax_0.8,14961.0,0.9754695541741862,3.90715861239222,0.2243430330190661,0.0,0.4125360852555232,0.20071370925209506,14961.0
softmax_0.9,14961.0,0.9754695541741862,3.9156473497760844,0.10769552599100198,0.0,0.4123666401108146,0.20066128687824059,14961.0
full_softmax,14961.0,0.9748011496557717,3.176659314216964,0.6857817434610365,0.0,0.45547019456663307,0.23261546696968297,14961.0
shuffle_control,14961.0,0.9748011496557717,3.176659314216964,0.6857914996201546,0.0,0.45547019456663307,0.23261546696968297,14961.0
alias_control,14961.0,0.9748011496557717,3.176659314216964,0.6857817434610365,0.0,0.45547019456663307,0.23261546696968297,14961.0
ppo,14961.0,0.25245638660517344,0.0,0.25245506325452016,-0.27765720888740747,0.002456386605173444,0.18872819330258672,14961.0
