wait_penalty,early_buzz_penalty,status,num_ok,num_total,seconds,buzz_accuracy,mean_sq,mean_buzz_step,ece,brier,objective
0.0,0.2,ok,3,3,20.816,0.356060606060606,0.28771820566720924,1.3484848484848486,0.15190661264491748,0.13932367824786876,0.5678255054053565
0.0,0.5,ok,3,3,23.0,0.356060606060606,0.2647902491699145,1.3484848484848486,0.19067368843543317,0.13159249988317928,0.5255140110128039
0.0,0.8,ok,3,3,24.923,0.37121212121212116,0.19079683857194482,2.6969696969696972,0.2440655366588158,0.23423266796836292,0.43997619145465805
0.02,0.2,ok,3,3,18.554,0.3409090909090909,0.3362510346954102,0.0,0.013009434789913057,0.0003264540828573826,0.6706554082095445
0.02,0.5,ok,3,3,20.665,0.3409090909090909,0.3209917450147006,0.0,0.022584637638470722,0.0008251279622666511,0.6506085171045561
0.02,0.8,ok,3,3,33.569,0.356060606060606,0.28032148597967993,1.3484848484848486,0.17870650409586783,0.15182081261645786,0.5470288399923521
0.05,0.2,ok,3,3,24.873,0.3409090909090909,0.3395865824871432,0.0,0.006030927975767884,5.185091237171714e-05,0.6774802094083501
0.05,0.5,ok,3,3,25.256,0.3409090909090909,0.3378137190659685,0.0,0.008774979058547282,0.00010782953738148298,0.6743353204457858
0.05,0.8,ok,3,3,27.167,0.3409090909090909,0.297556426837934,0.0,0.017911174968696396,0.0005230860551269998,0.6295099302626767
