wait_penalty,early_buzz_penalty,status,num_ok,num_total,seconds,buzz_accuracy,mean_sq,mean_buzz_step,ece,brier,objective
0.0,0.2,ok,3,3,12.782,0.3409090909090909,0.25088412008189714,0.0,0.10721685218794101,0.022660893638772935,0.5381847848970175
0.0,0.5,ok,3,3,14.29,0.3636363636363636,0.25527633348828443,2.6969696969696972,0.20360896511313817,0.267483893217346,0.517108214568079
0.0,0.8,ok,3,3,14.397,0.3863636363636364,0.21496065192856503,4.045454545454546,0.3429102889741911,0.35452550718751374,0.4298691438051059
0.02,0.2,ok,3,3,12.129,0.3409090909090909,0.32446755340886135,0.0,0.06256258945248908,0.01026963606042595,0.6340953495917078
0.02,0.5,ok,3,3,12.771,0.356060606060606,0.2950309185479813,1.3484848484848486,0.18351339881491815,0.138714649752208,0.5593348252011282
0.02,0.8,ok,3,3,13.595,0.356060606060606,0.20163184582279495,1.3484848484848486,0.2124298304940263,0.13957570065878566,0.45147753663638784
0.05,0.2,ok,3,3,11.93,0.3409090909090909,0.3337738530937595,0.0,0.03500667682524319,0.001697101654386725,0.6571796055902287
0.05,0.5,ok,3,3,12.045,0.3409090909090909,0.32627467139010563,0.0,0.07055399277261598,0.007104193361180157,0.6319067659128885
0.05,0.8,ok,3,3,12.8,0.356060606060606,0.27959151858523384,1.3484848484848486,0.19611258147933494,0.1451672303183784,0.5375958339061724
